Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 134.0.6998.179,,,04-04-2025 12:51:35,04-04-2025 12:54:47,3m - 11.290s,PASSED
,,,,,,,
Test Cases/Login/Login with empty username and password,Chrome 134.0.6998.179,,,04-04-2025 12:51:36,04-04-2025 12:51:54,18.181s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 12:51:36,04-04-2025 12:51:51,14.921s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 12:51:51,04-04-2025 12:51:51,0.348s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredUsernameTxt""), ""Username is required"")",Chrome 134.0.6998.179,,,04-04-2025 12:51:51,04-04-2025 12:51:52,0.537s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredPasswordTxt""), ""Password is required"")",Chrome 134.0.6998.179,,,04-04-2025 12:51:52,04-04-2025 12:51:52,0.269s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 12:51:52,04-04-2025 12:51:54,1.784s,PASSED
,,,,,,,
Test Cases/Login/Login with the empty password,Chrome 134.0.6998.179,,,04-04-2025 12:51:54,04-04-2025 12:52:10,15.924s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 12:51:54,04-04-2025 12:52:08,13.831s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/usernameInput""), ""gggggggggg"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:08,04-04-2025 12:52:08,0.698s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 12:52:08,04-04-2025 12:52:09,0.412s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredPasswordTxt""), ""Password is required"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:09,04-04-2025 12:52:09,0.563s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 12:52:09,04-04-2025 12:52:10,0.316s,PASSED
,,,,,,,
Test Cases/Login/Login with the empty username,Chrome 134.0.6998.179,,,04-04-2025 12:52:10,04-04-2025 12:52:24,14.188s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:10,04-04-2025 12:52:22,12.301s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/passwordInput""), ""huy123"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:22,04-04-2025 12:52:23,0.619s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 12:52:23,04-04-2025 12:52:23,0.359s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredUsernameTxt""), ""Username is required"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:23,04-04-2025 12:52:24,0.496s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 12:52:24,04-04-2025 12:52:24,0.308s,PASSED
,,,,,,,
Test Cases/Login/Login with the password less than six characters,Chrome 134.0.6998.179,,,04-04-2025 12:52:24,04-04-2025 12:52:38,14.483s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:24,04-04-2025 12:52:36,11.873s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/usernameInput""), ""nguyenqhuy75310111"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:36,04-04-2025 12:52:36,0.656s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/passwordInput""), ""huy12"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:36,04-04-2025 12:52:37,0.641s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 12:52:37,04-04-2025 12:52:37,0.379s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/passwordLarger6CharactersTxt""), ""Password must be at least 6 character"")",Chrome 134.0.6998.179,,,04-04-2025 12:52:37,04-04-2025 12:52:38,0.512s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 12:52:38,04-04-2025 12:52:38,0.325s,PASSED
,,,,,,,
Test Cases/Login/Password is encrypted,Chrome 134.0.6998.179,,,04-04-2025 12:52:38,04-04-2025 12:53:03,25.061s,PASSED
